gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result,click_mean,submit_early,preview,click_std
F,London Region,A Level or Equivalent,10-20%,0-35,0,60,N,Pass,21.61111111,3.5,10,2.897815503
F,East Midlands Region,HE Qualification,10-20%,0-35,0,60,N,Pass,6.185185185,0,3,1.786037933
M,West Midlands Region,A Level or Equivalent,70-80%,0-35,0,60,N,Pass,10.55555556,0,4,4.04632543
M,South West Region,A Level or Equivalent,60-70%,55<=,0,120,N,Pass,12.2962963,2,3,3.953125631
M,South Region,Post Graduate Qualification,90-100%,55<=,0,60,N,Pass,90.14814815,0,10,11.70210528
M,South Region,A Level or Equivalent,90-100%,0-35,0,60,N,Pass,2.388888889,1,3,3.567396412
F,East Anglian Region,HE Qualification,80-90%,0-35,0,120,N,Pass,7.888888889,2,9,3.371181234
F,East Midlands Region,A Level or Equivalent,50-60%,0-35,0,60,N,Pass,21.66666667,-3.5,8,3.376825891
M,South Region,HE Qualification,90-100%,55<=,0,60,N,Pass,60.62962963,1.5,10,5.389001246
M,East Anglian Region,HE Qualification,40-50%,35-55,0,60,N,Pass,13.37037037,0.5,8,3.155655659
F,South West Region,A Level or Equivalent,10-20%,35-55,0,60,N,Pass,8.666666667,-1,6,4.014624849
M,South East Region,A Level or Equivalent,90-100%,0-35,0,120,N,Pass,0.722222222,1,2,1.064721068
F,South Region,HE Qualification,90-100%,35-55,0,60,N,Withdrawn,0,,6,4.473019459
F,East Anglian Region,A Level or Equivalent,60-70%,35-55,0,60,N,Pass,9.203703704,0.5,5,4.201536288
M,Scotland,A Level or Equivalent,20-30%,0-35,0,120,N,Pass,1.388888889,0,1,1.893316963
M,Scotland,HE Qualification,80-90%,0-35,0,60,N,Pass,3.962962963,0,1,3.565692135
F,London Region,A Level or Equivalent,50-60%,0-35,0,150,N,Fail,0,,3,2.219395512
F,South West Region,A Level or Equivalent,0-10%,0-35,0,240,Y,Withdrawn,0,,7,3.155311451
F,South East Region,A Level or Equivalent,20-30%,0-35,0,60,N,Withdrawn,23.42592593,-2.5,8,3.857515344
M,East Anglian Region,A Level or Equivalent,90-100%,0-35,0,120,N,Pass,12.01851852,2.5,3,4.551319407
M,North Region,A Level or Equivalent,80-90%,0-35,0,60,N,Pass,1.833333333,2.5,2,3.252128584
M,East Anglian Region,Lower Than A Level,40-50%,0-35,0,180,N,Fail,0.240740741,-38.5,,0.899735411
F,West Midlands Region,HE Qualification,70-80%,0-35,0,60,N,Withdrawn,0,,6,3.815078677
M,Scotland,Lower Than A Level,50-60%,55<=,0,60,N,Pass,10.12962963,5,7,4.685478824
M,Yorkshire Region,HE Qualification,0-10%,0-35,0,60,N,Pass,5.703703704,0.5,7,2.796219047
M,Ireland,HE Qualification,70-80%,35-55,0,120,N,Pass,23.68518519,-2.5,4,4.61310523
M,Yorkshire Region,A Level or Equivalent,10-20%,0-35,0,60,N,Fail,0.648148148,1,,0.747545002
M,East Anglian Region,A Level or Equivalent,60-70%,0-35,0,180,Y,Pass,1.944444444,-3.5,1,3.19121645
M,Yorkshire Region,A Level or Equivalent,30-40%,0-35,0,60,N,Pass,10.24074074,2,6,3.167450169
M,East Anglian Region,A Level or Equivalent,50-60%,0-35,0,120,N,Pass,4.777777778,1,1,2.129758417
M,North Western Region,HE Qualification,80-90%,35-55,0,60,N,Pass,5.111111111,0,5,2.347155226
M,Yorkshire Region,A Level or Equivalent,10-20%,0-35,0,60,N,Fail,1.62962963,0,,1.462604022
M,East Anglian Region,Lower Than A Level,70-80%,35-55,0,60,N,Fail,4.740740741,2.5,5,4.01341596
F,London Region,A Level or Equivalent,0-10%,0-35,0,120,N,Pass,7.222222222,0,5,2.473699621
M,East Anglian Region,Lower Than A Level,10-20%,35-55,0,60,N,Pass,13.51851852,2.5,9,3.754265651
M,South West Region,HE Qualification,40-50%,0-35,0,60,N,Pass,8.166666667,1.5,3,2.37972262
F,South West Region,A Level or Equivalent,50-60%,0-35,0,120,Y,Pass,1.222222222,-7.5,4,2.471389316
M,Wales,HE Qualification,50-60%,35-55,0,120,N,Fail,0.592592593,1,2,1.118300156
M,Yorkshire Region,Lower Than A Level,0-10%,0-35,0,180,N,Pass,6.481481481,0,2,4.041295601
M,North Region,HE Qualification,,0-35,0,60,N,Pass,12.51851852,0,8,2.342792892
F,South Region,A Level or Equivalent,80-90%,35-55,0,60,N,Pass,12.22222222,-3,,5.484109239
M,East Midlands Region,A Level or Equivalent,80-90%,0-35,0,60,N,Pass,8.611111111,1.5,6,3.962030457
M,Yorkshire Region,A Level or Equivalent,90-100%,0-35,0,120,N,Pass,3.722222222,2,2,1.928621498
M,Ireland,Lower Than A Level,,0-35,0,120,N,Pass,1.092592593,-3,,1.078220849
M,Yorkshire Region,A Level or Equivalent,70-80%,0-35,0,120,N,Pass,6.277777778,-1.5,7,2.644720859
F,London Region,Lower Than A Level,80-90%,35-55,0,60,N,Pass,5.888888889,-0.5,7,3.437364256
M,South West Region,A Level or Equivalent,90-100%,35-55,0,60,N,Pass,4.981481481,0,3,3.780872459
M,Scotland,A Level or Equivalent,0-10%,0-35,0,90,N,Withdrawn,6.148148148,-1.5,3,2.229241395
M,West Midlands Region,A Level or Equivalent,70-80%,0-35,0,120,N,Fail,2.685185185,0,1,2.454827252
F,North Western Region,A Level or Equivalent,50-60%,35-55,0,120,N,Pass,11.48148148,-5,4,3.669404643
M,North Western Region,A Level or Equivalent,60-70%,0-35,0,60,N,Pass,6.185185185,1,3,4.229651261
M,Yorkshire Region,HE Qualification,50-60%,0-35,0,180,N,Pass,7.62962963,0,1,4.810163921
M,Yorkshire Region,Lower Than A Level,90-100%,0-35,0,240,N,Fail,8.759259259,1,3,3.950406542
F,South East Region,Lower Than A Level,80-90%,0-35,0,60,N,Pass,8.814814815,0,4,3.505260163
M,South West Region,Lower Than A Level,50-60%,35-55,0,60,N,Pass,13.62962963,2,6,7.354857775
M,Wales,Lower Than A Level,20-30%,35-55,0,120,N,Pass,4.981481481,2.5,6,3.419107669
M,North Region,A Level or Equivalent,20-30%,0-35,0,120,N,Pass,5.759259259,0,8,2.067323352
M,Yorkshire Region,A Level or Equivalent,50-60%,0-35,0,120,N,Pass,5.018518519,0.5,5,2.641913253
M,West Midlands Region,HE Qualification,0-10%,35-55,0,90,N,Withdrawn,12.64814815,-3.5,7,4.171287812
M,Scotland,A Level or Equivalent,40-50%,0-35,0,60,Y,Fail,3.703703704,-1,,2.969401666
F,North Western Region,A Level or Equivalent,70-80%,0-35,0,60,N,Pass,2.277777778,0,,1.989110229
F,South East Region,A Level or Equivalent,70-80%,0-35,0,150,N,Pass,2.888888889,1,4,2.000046312
M,London Region,A Level or Equivalent,20-30%,0-35,0,120,N,Pass,3.907407407,0,1,2.72784257
M,South West Region,HE Qualification,80-90%,0-35,0,120,N,Withdrawn,12.59259259,0,5,4.127318249
M,London Region,HE Qualification,30-40%,0-35,0,60,N,Pass,7.574074074,0,5,2.704663336
M,South East Region,HE Qualification,90-100%,35-55,0,60,N,Withdrawn,0,,3,7.370750097
F,South West Region,A Level or Equivalent,20-30%,0-35,0,60,N,Pass,11.25925926,3.5,7,5.340029561
M,South East Region,HE Qualification,80-90%,0-35,0,120,N,Pass,9.685185185,1,,6.145577162
M,North Western Region,HE Qualification,80-90%,35-55,0,60,N,Pass,7.425925926,0,3,3.583297472
M,London Region,A Level or Equivalent,40-50%,0-35,0,120,N,Pass,12.33333333,0,4,4.464583
M,South East Region,HE Qualification,90-100%,0-35,0,120,N,Pass,4.333333333,1.5,2,2.761941519
M,North Western Region,HE Qualification,40-50%,0-35,0,120,N,Pass,18.88888889,1,10,4.266514219
M,South East Region,HE Qualification,60-70%,0-35,0,60,N,Pass,7.962962963,0,4,6.218021252
M,West Midlands Region,HE Qualification,80-90%,0-35,0,120,N,Fail,1.055555556,1,1,4.429070632
F,Scotland,HE Qualification,30-40%,0-35,0,60,N,Withdrawn,6.740740741,-3,,7.591592495
M,West Midlands Region,HE Qualification,70-80%,0-35,0,120,N,Pass,4.925925926,0,1,6.94154389
M,Ireland,HE Qualification,90-100%,0-35,0,120,N,Pass,13.07407407,0,3,12.87264779
M,East Anglian Region,A Level or Equivalent,30-40%,0-35,0,120,N,Fail,1.888888889,,,3.412453849
M,South West Region,A Level or Equivalent,90-100%,0-35,0,120,N,Pass,36.2962963,1.5,6,4.975429728
M,South Region,Post Graduate Qualification,90-100%,35-55,0,60,N,Pass,5.759259259,0,4,2.654574217
M,North Region,HE Qualification,,55<=,0,60,N,Withdrawn,6.277777778,-2.5,2,2.997616348
M,Scotland,Post Graduate Qualification,90-100%,35-55,0,60,N,Fail,5.407407407,0,2,3.280344277
M,South Region,HE Qualification,90-100%,55<=,0,120,N,Pass,17.77777778,-0.5,4,5.712369319
M,West Midlands Region,A Level or Equivalent,60-70%,55<=,0,120,N,Pass,17.48148148,0.5,9,4.384786997
F,South Region,Lower Than A Level,50-60%,55<=,0,120,N,Withdrawn,0,,10,3.793704006
M,South Region,Lower Than A Level,70-80%,55<=,0,60,N,Pass,25.83333333,3,9,3.553901196
M,West Midlands Region,A Level or Equivalent,60-70%,55<=,0,60,N,Pass,38.2037037,1.5,8,4.595077179
F,East Anglian Region,A Level or Equivalent,90-100%,35-55,0,60,N,Pass,18.14814815,1.5,7,5.68383335
F,South West Region,A Level or Equivalent,50-60%,35-55,0,60,N,Pass,8.111111111,1,5,1.751287492
M,North Western Region,HE Qualification,40-50%,35-55,0,60,N,Pass,5.240740741,0.5,2,3.020476161
F,East Anglian Region,A Level or Equivalent,40-50%,35-55,0,60,N,Pass,4.796296296,-4,1,3.00657331
M,South West Region,A Level or Equivalent,80-90%,35-55,0,180,N,Withdrawn,18.24074074,1,6,3.108443333
F,West Midlands Region,HE Qualification,90-100%,35-55,0,60,N,Pass,16.46296296,0.5,7,3.91658989
M,South Region,HE Qualification,90-100%,35-55,0,60,N,Pass,38.61111111,0.5,10,7.136532775
F,London Region,Lower Than A Level,30-40%,35-55,0,60,N,Pass,9.444444444,0,6,3.165601008
M,Scotland,HE Qualification,80-90%,55<=,0,60,N,Pass,14.66666667,0,7,5.476670173
M,Yorkshire Region,A Level or Equivalent,20-30%,35-55,0,60,N,Withdrawn,7.240740741,-5,1,3.462299487
M,West Midlands Region,A Level or Equivalent,70-80%,35-55,0,60,N,Fail,2.648148148,-7,7,3.858639081
F,East Midlands Region,HE Qualification,30-40%,35-55,0,60,N,Pass,7.111111111,-9,5,3.595422848
F,Yorkshire Region,A Level or Equivalent,10-20%,35-55,0,120,N,Fail,15.51851852,-41.5,2,7.228919445
M,West Midlands Region,HE Qualification,40-50%,35-55,0,120,N,Pass,20.74074074,0,5,4.671548524
F,East Anglian Region,Lower Than A Level,40-50%,35-55,0,60,Y,Fail,6.333333333,-5,,3.867934441
M,London Region,A Level or Equivalent,70-80%,35-55,0,60,N,Pass,21.24074074,-2,9,7.019639361
F,South East Region,Lower Than A Level,80-90%,35-55,0,60,N,Pass,30.11111111,0,4,4.789892726
M,London Region,Lower Than A Level,90-100%,35-55,0,60,N,Pass,6.777777778,0,,6.546894262
M,South Region,HE Qualification,90-100%,35-55,0,60,N,Fail,0,,8,8.134464335
M,North Western Region,A Level or Equivalent,60-70%,35-55,0,60,N,Pass,29.94444444,1.5,10,3.177356295
M,West Midlands Region,A Level or Equivalent,30-40%,35-55,0,60,N,Pass,25.37037037,2,9,2.708038838
F,North Western Region,Lower Than A Level,50-60%,35-55,0,60,N,Withdrawn,0,,8,3.266736005
F,Scotland,HE Qualification,40-50%,35-55,0,60,N,Pass,13.5,0,6,5.060582545
M,East Anglian Region,A Level or Equivalent,60-70%,35-55,0,60,N,Pass,14.05555556,1,2,6.19899423
M,South Region,Lower Than A Level,30-40%,35-55,0,75,N,Withdrawn,25.46296296,0.5,8,3.299633439
M,South East Region,HE Qualification,70-80%,55<=,0,60,N,Pass,40.01851852,-2.5,6,7.841609909
M,Ireland,HE Qualification,,35-55,0,60,N,Pass,10.72222222,-3.5,2,5.350902633
M,Scotland,A Level or Equivalent,30-40%,35-55,0,60,N,Pass,3.814814815,1,4,3.610088082
M,South West Region,Lower Than A Level,40-50%,35-55,0,60,N,Pass,28.51851852,1,7,3.896174521
M,South West Region,Lower Than A Level,40-50%,35-55,0,300,Y,Pass,16.18518519,0,8,4.022588823
M,Yorkshire Region,A Level or Equivalent,50-60%,35-55,0,60,N,Pass,13.37037037,-1.5,3,3.253801247
F,South Region,A Level or Equivalent,70-80%,35-55,0,60,Y,Pass,7.796296296,-2,1,3.294114304
F,East Midlands Region,A Level or Equivalent,80-90%,0-35,0,60,N,Pass,12.07407407,4,8,3.691349699
M,South Region,A Level or Equivalent,90-100%,35-55,0,60,N,Pass,11.42592593,7.5,6,3.491158821
F,East Anglian Region,Lower Than A Level,40-50%,35-55,0,120,Y,Pass,4.111111111,-4,4,2.839204078
M,West Midlands Region,Lower Than A Level,0-10%,35-55,0,60,N,Withdrawn,69.7037037,-6,8,7.388177467
M,Ireland,Lower Than A Level,50-60%,35-55,0,120,N,Pass,2.222222222,1.5,7,2.363159709
F,East Anglian Region,A Level or Equivalent,90-100%,0-35,0,60,Y,Pass,6.481481481,0,3,2.971990997
M,North Western Region,Lower Than A Level,30-40%,35-55,0,60,N,Pass,5.944444444,0.5,2,5.647665285
F,South West Region,Lower Than A Level,70-80%,35-55,0,60,N,Pass,17.66666667,-0.5,4,5.195020959
F,East Anglian Region,A Level or Equivalent,60-70%,0-35,0,60,N,Fail,13.5,0.5,6,3.169411883
M,London Region,A Level or Equivalent,30-40%,35-55,0,330,Y,Withdrawn,11.27777778,-5.5,1,6.606747226
