,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result,date_registration,click_mean,preview,submit_early,click_std
80,M,London Region,A Level or Equivalent,90-100%,0-35,0,60,N,Withdrawn,-45.0,8.863247863247864,1.0,,6.597620670388859
81,M,London Region,Lower Than A Level,50-60%,35-55,0,60,N,Pass,-54.0,2.649572649572649,6.0,1.6666666666666667,2.3040605788002395
82,F,Wales,A Level or Equivalent,30-40%,0-35,0,60,N,Withdrawn,-73.0,9.572649572649572,8.0,-10.333333333333334,5.235378503432504
83,M,South West Region,HE Qualification,80-90%,35-55,0,60,N,Pass,-68.0,7.410256410256411,6.0,0.0,2.7840314314064063
84,M,East Anglian Region,A Level or Equivalent,40-50%,0-35,0,90,Y,Fail,-51.0,2.3076923076923075,1.0,-3.6666666666666665,3.3149765379749168
85,F,London Region,A Level or Equivalent,10-20,35-55,0,60,N,Distinction,-169.0,11.709401709401707,9.0,0.6666666666666666,3.4165441712266484
86,M,Ireland,HE Qualification,,0-35,0,180,N,Fail,-172.0,7.666666666666668,4.0,0.6666666666666666,3.263035103054842
87,M,London Region,HE Qualification,60-70%,0-35,0,60,N,Pass,-31.0,1.1025641025641026,3.0,0.0,1.2612827246190073
88,M,East Midlands Region,Lower Than A Level,50-60%,0-35,0,60,N,Pass,-108.0,2.324786324786325,,-7.0,2.6139314578539734
89,M,West Midlands Region,A Level or Equivalent,20-30%,0-35,0,60,N,Pass,-165.0,3.068376068376069,2.0,0.6666666666666666,3.1803130153157615
90,M,East Midlands Region,A Level or Equivalent,50-60%,0-35,0,60,N,Pass,-58.0,4.094017094017094,3.0,1.0,2.7901852468257906
91,M,London Region,A Level or Equivalent,40-50%,0-35,0,240,N,Pass,-29.0,9.042735042735043,5.0,-0.3333333333333333,4.688076253333067
92,M,Yorkshire Region,A Level or Equivalent,90-100%,0-35,0,240,N,Withdrawn,-79.0,,3.0,,
93,M,Scotland,Post Graduate Qualification,90-100%,0-35,0,60,N,Pass,2.0,2.11965811965812,,-1.3333333333333333,3.27618749638726
94,M,South Region,HE Qualification,90-100%,55<=,0,60,N,Pass,-151.0,6.658119658119658,6.0,0.0,2.192856261214415
95,M,London Region,HE Qualification,80-90%,0-35,0,80,N,Pass,-45.0,1.376068376068376,1.0,0.0,3.5020660363943015
96,M,South Region,A Level or Equivalent,90-100%,0-35,0,120,N,Pass,-47.0,2.2820512820512815,1.0,1.3333333333333333,2.1842079507592915
97,M,East Anglian Region,HE Qualification,90-100%,35-55,0,60,N,Pass,-50.0,8.008547008547009,7.0,5.666666666666668,3.2899194365893156
98,F,East Midlands Region,HE Qualification,60-70%,35-55,0,60,N,Fail,-31.0,5.606837606837607,4.0,-2.333333333333333,2.8618952905251605
99,M,London Region,HE Qualification,20-30%,35-55,0,60,N,Pass,-36.0,1.931623931623932,3.0,1.0,3.0624505738661973
100,M,South West Region,A Level or Equivalent,90-100%,35-55,0,60,N,Pass,-16.0,4.794871794871796,6.0,0.3333333333333333,4.608962644539461
101,M,North Western Region,Lower Than A Level,20-30%,0-35,0,90,N,Pass,-198.0,8.760683760683763,9.0,-2.0,3.0699142793368823
102,M,Wales,Lower Than A Level,20-30%,35-55,0,60,N,Pass,-103.0,13.128205128205128,9.0,-3.0,3.2657339877260365
103,M,North Western Region,HE Qualification,10-20,0-35,0,120,N,Pass,-117.0,3.8717948717948723,4.0,-8.0,2.7291038304071695
104,F,West Midlands Region,Lower Than A Level,30-40%,0-35,0,60,N,Pass,-68.0,3.615384615384616,5.0,-1.6666666666666667,2.6879372955050007
105,F,East Anglian Region,Lower Than A Level,70-80%,35-55,0,60,N,Pass,-172.0,18.29059829059829,10.0,-4.333333333333333,4.610330306536052
106,F,London Region,A Level or Equivalent,80-90%,35-55,0,60,N,Withdrawn,-186.0,2.7948717948717947,3.0,-5.666666666666668,5.166893574935008
107,M,East Midlands Region,A Level or Equivalent,20-30%,35-55,0,60,N,Pass,-145.0,5.0256410256410255,3.0,0.3333333333333333,3.2222901519961784
108,F,North Western Region,A Level or Equivalent,30-40%,35-55,0,60,N,Pass,-191.0,12.145299145299143,6.0,1.0,3.8107929265251417
109,M,East Anglian Region,A Level or Equivalent,10-20,35-55,0,90,N,Fail,-33.0,13.401709401709402,1.0,3.0,4.177594367427082
110,M,East Anglian Region,A Level or Equivalent,30-40%,0-35,0,180,N,Withdrawn,-17.0,1.4358974358974361,1.0,,3.6834811352734826
111,M,Scotland,A Level or Equivalent,80-90%,35-55,0,60,N,Pass,-68.0,14.982905982905985,6.0,0.0,7.071507446696117
112,F,South East Region,A Level or Equivalent,60-70%,0-35,0,60,N,Withdrawn,-108.0,12.64102564102564,2.0,-7.0,5.357299495242584
113,M,London Region,Lower Than A Level,40-50%,0-35,0,60,N,Distinction,-138.0,4.034188034188034,5.0,2.6666666666666665,6.343710942519244
114,F,Scotland,A Level or Equivalent,30-40%,0-35,0,150,N,Pass,-74.0,2.358974358974359,1.0,-1.0,2.3978460699972106
115,M,Wales,Lower Than A Level,70-80%,35-55,0,60,N,Fail,-64.0,0.4615384615384616,2.0,1.3333333333333333,0.8826531526597055
116,M,South West Region,A Level or Equivalent,30-40%,35-55,0,60,N,Pass,-107.0,10.153846153846152,5.0,-6.333333333333332,4.7891685121057685
117,M,South East Region,A Level or Equivalent,90-100%,35-55,0,60,N,Pass,-8.0,4.598290598290598,3.0,0.0,4.243845856752663
118,M,East Anglian Region,A Level or Equivalent,90-100%,0-35,0,120,N,Pass,-52.0,2.8974358974358974,2.0,0.0,3.3969456754178333
119,M,Wales,A Level or Equivalent,20-30%,0-35,0,60,N,Pass,-96.0,9.367521367521366,1.0,-2.0,4.230667736102214
120,M,North Western Region,A Level or Equivalent,30-40%,0-35,0,60,N,Pass,-141.0,2.094017094017094,1.0,1.0,2.100618991337271
121,M,South East Region,A Level or Equivalent,90-100%,35-55,0,60,N,Distinction,-132.0,24.324786324786324,8.0,-1.3333333333333333,3.1161832106459912
122,M,East Midlands Region,A Level or Equivalent,70-80%,0-35,0,120,N,Pass,-27.0,0.41025641025641024,1.0,,
123,M,South East Region,HE Qualification,90-100%,55<=,0,60,N,Pass,-80.0,8.153846153846152,5.0,3.333333333333333,5.763300189088768
124,M,South East Region,A Level or Equivalent,90-100%,0-35,0,60,N,Pass,-145.0,4.0427350427350435,,1.0,4.40128187544976
125,M,South East Region,A Level or Equivalent,40-50%,35-55,0,240,N,Fail,-17.0,4.82051282051282,1.0,1.3333333333333333,2.3267064577655496
126,M,South Region,Post Graduate Qualification,90-100%,55<=,0,60,N,Distinction,-115.0,10.085470085470083,5.0,2.0,3.8226266752690865
127,F,South East Region,HE Qualification,80-90%,0-35,0,60,N,Pass,-32.0,2.47008547008547,5.0,-4.666666666666667,2.3400183825898555
128,M,West Midlands Region,A Level or Equivalent,30-40%,35-55,0,60,N,Pass,-59.0,6.05128205128205,6.0,7.333333333333332,2.53888177737164
129,F,East Anglian Region,A Level or Equivalent,40-50%,0-35,0,60,N,Fail,-83.0,4.0427350427350435,2.0,-1.3333333333333333,2.966416827037692
130,M,North Western Region,A Level or Equivalent,70-80%,0-35,0,60,N,Fail,-18.0,,2.0,,
131,M,West Midlands Region,A Level or Equivalent,70-80%,0-35,0,120,Y,Pass,-66.0,5.119658119658119,5.0,0.0,3.1843357807602617
132,M,West Midlands Region,A Level or Equivalent,50-60%,35-55,0,120,N,Pass,-107.0,5.136752136752137,,0.6666666666666666,3.451613437913335
133,M,East Anglian Region,A Level or Equivalent,90-100%,35-55,0,60,N,Pass,-58.0,4.811965811965811,7.0,4.666666666666667,3.41646549213537
134,F,London Region,A Level or Equivalent,10-20,0-35,0,60,N,Pass,-123.0,15.196581196581194,10.0,2.6666666666666665,2.7951365166170756
135,F,East Midlands Region,HE Qualification,10-20,0-35,0,60,N,Pass,-31.0,4.418803418803419,3.0,0.0,2.231111190615838
136,M,West Midlands Region,A Level or Equivalent,70-80%,0-35,0,60,N,Pass,-107.0,7.632478632478633,4.0,0.0,4.180558705255937
137,M,South West Region,A Level or Equivalent,60-70%,55<=,0,120,N,Pass,-121.0,10.846153846153848,3.0,2.333333333333333,3.705565357993767
138,M,South Region,Post Graduate Qualification,90-100%,55<=,0,60,N,Distinction,-79.0,60.444444444444436,10.0,1.0,10.056042536579035
139,M,South Region,A Level or Equivalent,90-100%,0-35,0,60,N,Pass,-59.0,1.4786324786324787,3.0,1.0,3.0615519478888595
140,F,East Anglian Region,HE Qualification,80-90%,0-35,0,120,N,Pass,-100.0,5.846153846153847,9.0,6.333333333333332,3.414571578719008
141,F,East Midlands Region,A Level or Equivalent,50-60%,0-35,0,60,N,Pass,-47.0,18.623931623931625,8.0,-2.333333333333333,3.068511582633513
142,M,South Region,HE Qualification,90-100%,55<=,0,60,N,Pass,-67.0,47.256410256410255,10.0,1.3333333333333333,4.9931964351146085
143,M,East Anglian Region,HE Qualification,40-50%,35-55,0,60,N,Pass,-32.0,9.324786324786324,8.0,0.3333333333333333,2.957880957272241
144,F,South West Region,A Level or Equivalent,10-20,35-55,0,60,N,Pass,-165.0,7.581196581196581,6.0,0.3333333333333333,3.9245260174048044
145,M,South East Region,A Level or Equivalent,90-100%,0-35,0,120,N,Pass,-32.0,0.5384615384615384,2.0,0.6666666666666666,1.0111481765402313
146,F,South Region,HE Qualification,90-100%,35-55,0,60,N,Withdrawn,-67.0,,6.0,,
147,F,East Anglian Region,A Level or Equivalent,60-70%,35-55,0,60,N,Pass,-64.0,5.478632478632479,5.0,0.3333333333333333,3.9034989399750466
148,M,Scotland,A Level or Equivalent,20-30%,0-35,0,120,N,Pass,-103.0,0.8205128205128205,1.0,0.0,1.6068832484592763
149,M,Scotland,HE Qualification,80-90%,0-35,0,60,N,Pass,-53.0,2.247863247863248,1.0,0.0,3.1402539154182927
150,F,London Region,A Level or Equivalent,50-60%,0-35,0,150,N,Fail,-32.0,2.0769230769230766,3.0,,2.136159179379343
151,F,South West Region,A Level or Equivalent,0-10%,0-35,0,240,Y,Withdrawn,-192.0,,7.0,,2.580103630453395
152,F,South East Region,A Level or Equivalent,20-30%,0-35,0,60,N,Withdrawn,-196.0,15.487179487179489,8.0,-1.6666666666666667,3.3818381901778887
153,M,East Anglian Region,A Level or Equivalent,90-100%,0-35,0,120,N,Pass,-110.0,7.547008547008548,3.0,2.333333333333333,4.050173633479684
154,M,North Region,A Level or Equivalent,80-90%,0-35,0,60,N,Pass,-57.0,1.6068376068376071,2.0,2.333333333333333,2.936578716975685
155,M,East Anglian Region,Lower Than A Level,40-50%,0-35,0,180,N,Fail,48.0,,,-24.66666666666667,
156,F,West Midlands Region,HE Qualification,70-80%,0-35,0,60,N,Withdrawn,-71.0,,6.0,,
157,M,Scotland,Lower Than A Level,50-60%,55<=,0,60,N,Pass,-81.0,6.974358974358975,7.0,6.666666666666668,4.291903132130583
158,M,Yorkshire Region,HE Qualification,0-10%,0-35,0,60,N,Pass,-60.0,3.683760683760684,7.0,2.0,2.470187563800776
159,M,Ireland,HE Qualification,70-80%,35-55,0,120,N,Pass,-49.0,20.923076923076927,4.0,-1.6666666666666667,4.172179608182288
160,M,Yorkshire Region,A Level or Equivalent,10-20,0-35,0,60,N,Fail,-12.0,0.3504273504273504,,1.0,0.6103679378930738
161,M,East Anglian Region,A Level or Equivalent,60-70%,0-35,0,180,Y,Pass,-37.0,2.9743589743589745,1.0,-2.333333333333333,2.898463463269276
162,M,Yorkshire Region,A Level or Equivalent,30-40%,0-35,0,60,N,Distinction,-18.0,8.846153846153848,6.0,3.333333333333333,3.0095537956342735
163,M,East Anglian Region,A Level or Equivalent,50-60%,0-35,0,120,N,Pass,-75.0,2.9230769230769234,1.0,0.6666666666666666,2.129771338422228
164,M,North Western Region,HE Qualification,80-90%,35-55,0,60,N,Pass,-49.0,3.47008547008547,5.0,0.0,2.4769625494508074
165,M,Yorkshire Region,A Level or Equivalent,10-20,0-35,0,60,N,Fail,-38.0,1.3076923076923077,,0.0,1.5938657495676571
166,M,East Anglian Region,Lower Than A Level,70-80%,35-55,0,60,N,Fail,-129.0,3.7350427350427347,5.0,1.6666666666666667,3.8113622151351882
167,F,London Region,A Level or Equivalent,0-10%,0-35,0,120,N,Pass,-38.0,4.333333333333333,5.0,0.0,2.352750458090445
168,M,East Anglian Region,Lower Than A Level,10-20,35-55,0,60,N,Pass,-52.0,9.153846153846152,9.0,2.333333333333333,3.423604905360297
169,M,South West Region,HE Qualification,40-50%,0-35,0,60,N,Pass,-4.0,6.94017094017094,3.0,2.0,2.4203221913369672
170,F,South West Region,A Level or Equivalent,50-60%,0-35,0,120,Y,Pass,-123.0,1.5641025641025639,4.0,-5.0,2.513767003483739
171,M,Wales,HE Qualification,50-60%,35-55,0,120,N,Fail,-60.0,0.5128205128205128,2.0,1.0,2.4382045176402394
172,M,Yorkshire Region,Lower Than A Level,0-10%,0-35,0,180,N,Pass,-19.0,4.410256410256411,2.0,7.666666666666668,3.6187815233652754
173,M,North Region,HE Qualification,,0-35,0,60,N,Distinction,-87.0,7.4273504273504285,8.0,-5.333333333333333,2.221294276797177
174,F,South Region,A Level or Equivalent,80-90%,35-55,0,60,N,Pass,-64.0,9.811965811965813,,-1.6666666666666667,4.80846642542641
175,M,East Midlands Region,A Level or Equivalent,80-90%,0-35,0,60,N,Pass,-155.0,5.17948717948718,6.0,1.6666666666666667,3.507379600608535
176,M,Yorkshire Region,A Level or Equivalent,90-100%,0-35,0,120,N,Pass,-61.0,2.5641025641025643,2.0,1.6666666666666667,1.7061576402624918
177,M,Ireland,Lower Than A Level,,0-35,0,120,N,Pass,-192.0,0.8974358974358975,,-2.0,1.0008202227343053
178,M,Yorkshire Region,A Level or Equivalent,70-80%,0-35,0,120,N,Pass,-38.0,4.0,7.0,-0.6666666666666666,2.4321373663515184
179,F,London Region,Lower Than A Level,80-90%,35-55,0,60,N,Pass,-179.0,2.888888888888889,7.0,-4.0,3.1545294568201623
180,M,South West Region,A Level or Equivalent,90-100%,35-55,0,60,N,Pass,-185.0,3.0854700854700856,3.0,0.3333333333333333,3.6524991974995644
181,M,Scotland,A Level or Equivalent,0-10%,0-35,0,90,N,Withdrawn,-31.0,4.076923076923077,3.0,-1.3333333333333333,2.7709165964750335
182,M,West Midlands Region,A Level or Equivalent,70-80%,0-35,0,120,N,Fail,-58.0,1.8205128205128205,1.0,0.0,2.138039912106004
183,F,North Western Region,A Level or Equivalent,50-60%,35-55,0,120,N,Pass,-54.0,8.05982905982906,4.0,-6.666666666666668,3.234017566576001
184,M,North Western Region,A Level or Equivalent,60-70%,0-35,0,60,N,Pass,-38.0,3.4871794871794872,3.0,1.0,3.6622655210773907
185,M,Yorkshire Region,HE Qualification,50-60%,0-35,0,180,N,Pass,-23.0,3.632478632478633,1.0,-2.6666666666666665,3.9498156783903284
186,M,Yorkshire Region,Lower Than A Level,90-100%,0-35,0,240,N,Fail,-57.0,6.05982905982906,3.0,0.6666666666666666,3.9094318309490794
187,F,South East Region,Lower Than A Level,80-90%,0-35,0,60,N,Pass,-53.0,4.94871794871795,4.0,-2.6666666666666665,2.9810954562689647
188,M,South West Region,Lower Than A Level,50-60%,35-55,0,60,N,Pass,-130.0,9.034188034188034,6.0,2.333333333333333,6.745171274472312
189,M,Wales,Lower Than A Level,20-30%,35-55,0,120,N,Pass,-129.0,2.717948717948718,6.0,5.0,2.994322990569408
190,M,North Region,A Level or Equivalent,20-30%,0-35,0,120,N,Pass,-67.0,3.418803418803418,8.0,-2.333333333333333,2.7857672692926174
191,M,Yorkshire Region,A Level or Equivalent,50-60%,0-35,0,120,N,Pass,-73.0,2.8803418803418803,5.0,-2.0,2.2123698152086986
192,M,West Midlands Region,HE Qualification,0-10%,35-55,0,90,N,Withdrawn,-60.0,8.085470085470085,7.0,-4.666666666666667,4.84337195647954
193,M,Scotland,A Level or Equivalent,40-50%,0-35,0,60,Y,Fail,-15.0,2.52991452991453,,-3.0,2.7429337183468734
194,F,North Western Region,A Level or Equivalent,70-80%,0-35,0,60,N,Pass,-58.0,1.982905982905983,,0.0,5.169579135680745
195,F,South East Region,A Level or Equivalent,70-80%,0-35,0,150,N,Pass,-52.0,1.9572649572649568,4.0,1.0,3.0534657214202032
196,M,London Region,A Level or Equivalent,20-30%,0-35,0,120,N,Pass,-53.0,2.452991452991453,1.0,0.0,2.538908174340408
197,M,South West Region,HE Qualification,80-90%,0-35,0,120,N,Withdrawn,-32.0,,5.0,,3.6279377980205645
198,M,London Region,HE Qualification,30-40%,0-35,0,60,N,Distinction,-38.0,5.6923076923076925,5.0,0.0,2.4463921163510953
199,M,South East Region,HE Qualification,90-100%,35-55,0,60,N,Withdrawn,-43.0,,3.0,,6.02741645350167
